month,town,flat_type,floor_area_sqm,remaining_lease,resale_price,latitude,longitude,storey_type_lower,storey_type_middle,storey_type_upper,rpi,adjusted_resale,mrt_count,school_count,mall_count,bus_stop_count,hawker_count,wet_market_count
0,ANG MO KIO,2 ROOM,44,736,232000,1.36200453938712,103.853879910407,False,False,True,133.9,173263.6295743092,0,3,0,14,1,1
0,ANG MO KIO,3 ROOM,67,727,250000,1.37096635222625,103.838201940326,True,False,False,133.9,186706.49738610905,1,2,0,11,1,1
0,ANG MO KIO,3 ROOM,67,749,262000,1.38070883044887,103.835368226602,True,False,False,133.9,195668.40926064228,1,0,0,12,0,0
0,ANG MO KIO,3 ROOM,68,745,265000,1.3662010408294,103.857200967235,False,True,False,133.9,197908.88722927557,0,1,0,10,2,2
0,ANG MO KIO,3 ROOM,67,749,265000,1.38104134784496,103.835131744823,True,False,False,133.9,197908.88722927557,1,0,0,11,0,0
0,ANG MO KIO,3 ROOM,68,756,275000,1.37680678506745,103.842017962576,True,False,False,133.9,205377.14712471995,0,2,0,18,0,0
0,ANG MO KIO,3 ROOM,68,738,280000,1.36747901420817,103.855967139125,False,True,False,133.9,209111.2770724421,0,2,0,11,1,1
0,ANG MO KIO,3 ROOM,67,700,285000,1.36511908595886,103.841742478489,False,True,False,133.9,212845.4070201643,1,2,0,13,1,1
0,ANG MO KIO,3 ROOM,68,738,285000,1.36747901420817,103.855967139125,False,True,False,133.9,212845.4070201643,0,2,0,11,1,1
0,ANG MO KIO,3 ROOM,67,736,285000,1.37005501296043,103.85488055876,True,False,False,133.9,212845.4070201643,0,2,0,18,2,2
0,ANG MO KIO,3 ROOM,68,745,288500,1.37405846295585,103.854168170426,True,False,False,133.9,215459.29798356982,0,3,0,17,1,1
0,ANG MO KIO,3 ROOM,67,716,295000,1.36754924977907,103.836740628478,False,False,True,133.9,220313.66691560866,0,2,0,15,1,1
0,ANG MO KIO,3 ROOM,67,716,295000,1.36682360872342,103.83649123351,False,True,False,133.9,220313.66691560866,1,3,0,16,1,1
0,ANG MO KIO,3 ROOM,67,714,297000,1.36598198004505,103.840654039612,False,False,True,133.9,221807.31889469753,1,3,0,14,1,1
0,ANG MO KIO,3 ROOM,68,745,298000,1.37447378519738,103.854100515826,False,False,True,133.9,222554.14488424198,0,3,0,17,1,1
0,ANG MO KIO,3 ROOM,67,720,298000,1.36885445228086,103.837896397823,False,True,False,133.9,222554.14488424198,1,2,0,13,1,1
0,ANG MO KIO,3 ROOM,67,736,300000,1.3697435855576,103.856023138277,False,False,True,133.9,224047.79686333085,0,1,0,14,2,2
0,ANG MO KIO,3 ROOM,68,752,301000,1.38156171229824,103.84000226873,False,True,False,133.9,224794.6228528753,0,3,0,15,0,0
0,ANG MO KIO,3 ROOM,67,732,306000,1.36605027829032,103.854168309853,False,False,True,133.9,228528.75280059746,0,2,0,14,2,2
0,ANG MO KIO,3 ROOM,68,752,312000,1.38219867741921,103.841211533475,False,True,False,133.9,233009.70873786407,1,3,0,17,0,0
0,ANG MO KIO,3 ROOM,67,730,312000,1.36956344301912,103.844698910817,False,False,True,133.9,233009.70873786407,1,2,4,14,0,0
0,ANG MO KIO,3 ROOM,73,714,321000,1.37065487078854,103.834630215787,False,True,False,133.9,239731.142643764,1,2,0,14,0,0
