stop_name,stop_code,type,lat,long
After Buangkok Drive (67459),67459,Bus Stop,1.3828428,103.8890361
After Buangkok East Drive (64171),64171,Bus Stop,1.3742595,103.9124238
After Bugis Station Exit C (01119),01119,Bus Stop,1.2995718,103.8551453
After Bukit Batok East Avenue 6 (42199),42199,Bus Stop,1.346067,103.767588
After Bukit Batok Station/Blk 628 (43419),43419,Bus Stop,1.3515476,103.7500475
After Bukit Batok West Avenue 3 (43452),43452,Bus Stop,1.3485108,103.738592
After Bukit Batok West Avenue 5 (43461),43461,Bus Stop,1.3551347,103.7474714
After Bukit Batok West Avenue 5 (44161),44161,Bus Stop,1.3706892,103.7499236
After Bukit Batok West Avenue 5 (44179),44179,Bus Stop,1.3677119,103.7472696
After Bukit Merah Central (10339),10339,Bus Stop,1.281111,103.8185526
After Bukit Panjang Station (44031),44031,Bus Stop,1.37797,103.7622886
After Bukit Timah Road (42149),42149,Bus Stop,1.3361078,103.7786466
After Buroh Street (22059),22059,Bus Stop,1.3135317,103.7013816
After CHIJMES (04159),04159,Bus Stop,1.2948868,103.8510813
After Caldecott Station (52249),52249,Bus Stop,1.3376263,103.8382099
After Camp Road (13041),13041,Bus Stop,1.3023673,103.8197281
After Canossa Convent Primary (70029),70029,Bus Stop,1.3266451,103.8805491
After Cantonment Road (05649),05649,Bus Stop,1.2723953,103.8408891
After Capital Tower (03111),03111,Bus Stop,1.2778773,103.8481816
After Cargo Building D (95141),95141,Bus Stop,1.3814064,103.9982533
After Carmen Street (83279),83279,Bus Stop,1.3188827,103.9250113
After Cashew Terrace (43121),43121,Bus Stop,1.3711547,103.7666559
After Cemetery Chapel (31059),31059,Bus Stop,1.3720523,103.6947155
After Central Expressway (54491),54491,Bus Stop,1.377193,103.860149
After Chai Chee Street (84579),84579,Bus Stop,1.3257914,103.9194998
After Changi Biz Park Cresent (96391),96391,Bus Stop,1.336856,103.967921
After Changi Coast Road (96479),96479,Bus Stop,1.3679253,104.0104148
After Changi Ferry Road (95169),95169,Bus Stop,1.3726752,104.0047406
After Changi General Hospital (96259),96259,Bus Stop,1.3404271,103.9512854
After Changi Golf Course (99041),99041,Bus Stop,1.3878766,103.9856547
After Changi North Street 2 (97151),97151,Bus Stop,1.3495842,103.9670493
After Changi Road (83149),83149,Bus Stop,1.3174656,103.9087402
After Chartwell Road (66181),66181,Bus Stop,1.358796,103.8618847
After Chen Li Presbyterian Church (80259),80259,Bus Stop,1.3098933,103.8798824
After Chestnut Avenue (44351),44351,Bus Stop,1.3682145,103.7756013
After Chin Bee Avenue (21261),21261,Bus Stop,1.333919,103.7102547
After Chin Bee Road (21519),21519,Bus Stop,1.3329908,103.7113965
After Chinatown Station Exit D (05022),05022,Bus Stop,1.285772,103.8444415
After Chinese & Muslim Cemetery (32139),32139,Bus Stop,1.3808427,103.6845709
After Chinese Cemetery Path 13 (31201),31201,Bus Stop,1.3803965,103.6966006
After Choa Chu Kang Avenue 6 (30119),30119,Bus Stop,1.3728126,103.7404118
After Chong Pang Community Club (59139),59139,Bus Stop,1.4313768,103.8295545
After Christian Cemetery Path 9 (31049),31049,Bus Stop,1.3691823,103.6942525
