school_name,school_type,lat,long
Valour Primary School,School,1.4071428,103.8989286
Victoria Junior College,College/JC,1.3059711,103.9198683
Victoria School,College/JC,1.3085188,103.927425
Waseda Shibuya Senior High School,School,1.2962898,103.7659346
Waterway Primary School,School,1.39928,103.9183742
Wellington Primary School,School,1.4521442,103.8224156
West Grove Primary School,School,1.3447051,103.6989454
West Spring Primary School,School,1.3893038,103.7662649
West Spring Secondary School,School,1.3881387,103.7598719
West View Primary School,School,1.3835715,103.7599991
Westwood Primary School,School,1.3471858,103.7006062
Westwood Secondary School,School,1.3535853,103.7017973
White Sands Primary School,School,1.3654769,103.9612541
Whitley Secondary School,School,1.3554934,103.8426371
Woodgrove Primary School,School,1.4328975,103.7902499
Woodgrove Secondary School,School,1.4285314,103.7966546
Woodlands Primary School,School,1.4368515,103.7916877
Woodlands Ring Primary School,School,1.4343141,103.7978093
Woodlands Ring Secondary School,School,1.4362395,103.800576
Woodlands Secondary School,School,1.4400396,103.7745172
XCL World Academy,School,1.4237952,103.850801
Xinghua Primary School,School,1.3581823,103.8904949
Xingnan Primary School,School,1.3429534,103.6873904
Xishan Primary School,School,1.4336038,103.8377569
Yangzheng Primary School,School,1.3486725,103.8684246
Yew Tee Primary School,School,1.3969674,103.7511046
Yio Chu Kang Primary School,School,1.3778503,103.8854633
Yio Chu Kang Secondary School,School,1.3782307,103.8421081
Yishun Innova Junior College,College/JC,1.4245484,103.8302355
Yishun Primary School,School,1.4337259,103.8339558
Yishun Secondary School,School,1.4279398,103.8290282
Yishun Town Secondary School,School,1.4326314,103.8378719
Yong Loo Lin School of Medicine,School,1.2959872,103.7816726
Yu Neng Primary School,School,1.3341631,103.932574
Yuan Ching Secondary School,School,1.341651,103.7198738
Yuhua Primary School,School,1.3426574,103.7409591
Yuhua Secondary School,School,1.3468875,103.7224022
Yumin Primary School,School,1.3513678,103.9508967
Yusof Ishak Secondary School,School,1.4072178,103.8967164
Yuvabharathi International School,School,1.3293652,103.7238275
Yuying Secondary School,School,1.3571859,103.8907059
Zhangde Primary School,School,1.2842706,103.8260945
Zhenghua Primary School,School,1.3796837,103.7693052
Zhenghua Secondary School,School,1.3890501,103.765271
Zhonghua Primary School,School,1.3601072,103.8699194
Zhonghua Secondary School,School,1.3485748,103.8696957
culinary studio,School,1.316476,103.8965304
de Suantio Gallery,College/JC,1.2979034,103.8485604
iMatter Learning Centre,School,1.4332012,103.8416396
my first skool EYC,School,1.4072082,103.9044148
新加坡中医学院,College/JC,1.3321896,103.8513428
