school_name,school_type,lat,long
Concord Primary School,School,1.3802781,103.7362921
Confucius Mandarin Institute,School,1.2862383,103.8279807
Coral Primary School,School,1.3683415,103.9509844
Corporation Primary School,School,1.3514791,103.7077381
Crest Secondary School,School,1.3435058,103.7426093
Curtin Singapore,University,1.2884206,103.7795669
DPS International School,School,1.3541224,103.883973
Damai Primary School,School,1.3355948,103.9212859
Damai Secondary School,School,1.3374626,103.9269038
Dazhong Primary School,School,1.3592056,103.7478742
De La Salle School,School,1.3950519,103.7432842
Delta Senior School,School,1.3735822,103.7496891
Deyi Secondary School,School,1.3666114,103.8520621
DigiPen Singapore,College/JC,1.307783,103.7778417
Dimensions,School,1.363193,103.8822736
Dimensions International College,College/JC,1.2954829,103.84064
Dover Court International School,School,1.3055048,103.7796151
Dulwich College,School,1.3525517,103.7382194
Dunearn Secondary School,School,1.3637077,103.744366
Dunman High School,School,1.2994205,103.8821785
Dunman Secondary School,School,1.3613443,103.9560495
Dyslexia Association Of Singapore Sengkang Learning Centre,School,1.3931066,103.8963174
Dyslexia Association of Singapore Serangoon Learning Centre,School,1.348775,103.87399
ESSEC Asia-Pacific,College/JC,1.3031096,103.7878105
Eager Beaver Schoolhouse @ Bukit Merah Central,School,1.2822628,103.8180784
East Asia Institute of Management,College/JC,1.285563,103.8208059
East Spring Primary School,School,1.3529319,103.9619289
East Spring Secondary School,School,1.3565687,103.9608365
Eden School,School,1.3515109,103.7429674
Edgefield Primary School,School,1.400343,103.9074912
Edgefield Secondary School,School,1.4001426,103.9024048
Eis International Pre-School,School,1.2931581,103.7667512
Elias Park Primary School,School,1.3749954,103.9452053
Elm College,College/JC,1.3063908,103.7723762
Endeavour Primary School,School,1.4544375,103.8176066
EtonHouse International School,School,1.3057846,103.8885145
EtonHouse International School Orchard,School,1.3065347,103.826274
Eunoia Junior College,College/JC,1.36208,103.8406736
Eunos Primary School,School,1.3246418,103.9044522
Evergreen Primary School,School,1.4438651,103.7947355
Evergreen Secondary School,School,1.4417443,103.7940541
Faculty of Dentistry,School,1.2957549,103.7836142
Fairfield Methodist Primary School,School,1.3007628,103.7852371
Fairfield Methodist Secondary School,School,1.3016719,103.7843939
Farrer Park Primary School,School,1.3124278,103.8508775
Fengshan Primary School,School,1.3297137,103.9318825
