month,town,flat_type,floor_area_sqm,remaining_lease,resale_price,latitude,longitude,storey_type_lower,storey_type_middle,storey_type_upper,rpi_x,adjusted_resale,rpi_y,rpi,mrt_count,school_count,mall_count,bus_stop_count,hawker_count,wet_market_count,nearest_mrt_dist,nearest_bus_stop_dist
0,ANG MO KIO,3 ROOM,81,749,390000,1.37400086510074,103.850139806283,True,False,False,133.9,291262.1359223301,133.9,133.9,1,3,1,13,0,0,439,72
0,ANG MO KIO,4 ROOM,92,738,400000,1.36314392666998,103.858118593427,False,False,True,133.9,298730.39581777446,133.9,133.9,0,1,0,7,1,1,976,208
0,ANG MO KIO,4 ROOM,91,738,400000,1.36266297827625,103.85651592319,False,False,True,133.9,298730.39581777446,133.9,133.9,0,3,0,13,1,1,1131,68
0,ANG MO KIO,4 ROOM,94,765,403000,1.380104749906,103.840408652998,True,False,False,133.9,300970.87378640776,133.9,133.9,0,2,0,18,0,0,537,132
0,ANG MO KIO,4 ROOM,92,756,410000,1.37365123866689,103.857022220393,True,False,False,133.9,306198.65571321885,133.9,133.9,0,2,0,12,1,1,833,45
0,ANG MO KIO,4 ROOM,98,733,425888,1.37101536386003,103.841800323712,True,False,False,133.9,318064.2270351008,133.9,133.9,0,2,2,8,1,1,562,151
0,ANG MO KIO,4 ROOM,97,714,430000,1.37020344042146,103.834687722549,False,True,False,133.9,321135.17550410755,133.9,133.9,1,2,0,13,0,0,333,77
0,ANG MO KIO,4 ROOM,92,742,435000,1.36408620030202,103.856692408941,False,True,False,133.9,324869.30545182974,133.9,133.9,0,1,0,9,2,2,1011,158
0,ANG MO KIO,4 ROOM,91,749,435000,1.38104134784496,103.835131744823,False,True,False,133.9,324869.30545182974,133.9,133.9,1,0,0,11,0,0,433,146
0,ANG MO KIO,4 ROOM,92,745,440000,1.36694793518613,103.857487648675,False,True,False,133.9,328603.43539955193,133.9,133.9,0,1,0,10,1,1,760,116
0,ANG MO KIO,4 ROOM,97,702,460000,1.36582089504381,103.842847772078,False,True,False,133.9,343539.95519044064,133.9,133.9,1,2,0,10,1,1,80,66
0,ANG MO KIO,4 ROOM,97,712,518000,1.36628642816469,103.8449947612,False,False,True,133.9,386855.8625840179,133.9,133.9,1,1,0,12,0,0,172,100
0,ANG MO KIO,4 ROOM,99,755,518000,1.37939517687868,103.843763599411,False,False,True,133.9,386855.8625840179,133.9,133.9,1,3,0,20,0,0,295,110
0,ANG MO KIO,4 ROOM,98,728,560000,1.36661793708764,103.84786688518,False,False,True,133.9,418222.5541448842,133.9,133.9,2,2,1,14,0,0,425,241
0,ANG MO KIO,4 ROOM,90,1124,688000,1.37183157010083,103.853670978083,False,False,True,133.9,513816.28080657206,133.9,133.9,0,2,0,20,1,1,501,84
0,ANG MO KIO,4 ROOM,91,1123,730000,1.37175400663025,103.8538833087,False,False,True,133.9,545182.9723674384,133.9,133.9,0,2,0,21,2,2,519,77
0,ANG MO KIO,4 ROOM,91,1123,756000,1.37175400663025,103.8538833087,False,False,True,133.9,564600.4480955937,133.9,133.9,0,2,0,21,2,2,519,77
0,ANG MO KIO,5 ROOM,117,721,500000,1.37026158388486,103.839467898898,True,False,False,133.9,373412.9947722181,133.9,133.9,1,3,0,10,1,1,360,38
0,ANG MO KIO,5 ROOM,119,732,668000,1.36899287777802,103.85276134968,False,False,True,133.9,498879.76101568335,133.9,133.9,1,3,1,14,2,2,380,135
0,ANG MO KIO,5 ROOM,118,752,668000,1.3734054063175,103.851134219635,False,False,True,133.9,498879.76101568335,133.9,133.9,1,3,1,19,1,1,409,76
0,ANG MO KIO,5 ROOM,119,749,725000,1.37147783065153,103.845868750998,False,False,True,133.9,541448.8424197162,133.9,133.9,1,1,4,14,0,0,435,85
0,ANG MO KIO,5 ROOM,112,1123,770000,1.37207688864036,103.852786139342,False,False,True,133.9,575056.0119492159,133.9,133.9,1,2,0,19,1,1,425,95
0,ANG MO KIO,5 ROOM,121,1136,832000,1.36481255187585,103.843844243986,False,False,True,133.9,621359.2233009709,133.9,133.9,1,2,0,10,0,0,103,107
0,ANG MO KIO,EXECUTIVE,147,940,888000,1.37845661566039,103.839292714848,False,False,True,133.9,663181.4787154594,133.9,133.9,0,2,0,17,0,0,728,74
0,BEDOK,2 ROOM,45,726,238000,1.334484667124,103.937924710969,False,True,False,133.9,177744.5855115758,133.9,133.9,0,4,0,10,0,0,651,156
0,BEDOK,3 ROOM,68,750,272000,1.33131021834565,103.92685391703,False,True,False,133.9,203136.66915608663,133.9,133.9,0,0,0,20,2,2,856,110
0,BEDOK,3 ROOM,59,720,278000,1.32791477933184,103.942144427101,False,False,True,133.9,207617.62509335324,133.9,133.9,1,2,0,10,0,0,490,226
0,BEDOK,3 ROOM,68,749,280000,1.3326931795279,103.926617402908,True,False,False,133.9,209111.2770724421,133.9,133.9,0,0,0,16,2,2,781,33
0,BEDOK,3 ROOM,59,696,280000,1.32085208689731,103.933721091441,True,False,False,133.9,209111.2770724421,133.9,133.9,0,0,0,10,0,0,520,171
0,BEDOK,3 ROOM,63,848,281000,1.33557619454702,103.911545779692,False,True,False,133.9,209858.10306198656,133.9,133.9,1,0,0,18,0,0,358,80
0,BEDOK,3 ROOM,68,760,285000,1.32947840879761,103.921105111921,False,True,False,133.9,212845.4070201643,133.9,133.9,0,0,0,10,0,0,646,181
0,BEDOK,3 ROOM,68,762,285000,1.32930431416537,103.922415807329,False,True,False,133.9,212845.4070201643,133.9,133.9,0,0,0,13,1,1,742,80
0,BEDOK,3 ROOM,70,811,287000,1.32914437941094,103.909112780576,False,False,True,133.9,214339.05899925317,133.9,133.9,0,1,0,10,0,0,660,275
0,BEDOK,3 ROOM,68,739,290000,1.33490287587397,103.927838167286,False,False,True,133.9,216579.5369678865,133.9,133.9,0,1,0,14,2,2,548,184
0,BEDOK,3 ROOM,60,818,290000,1.33303698213001,103.924812248346,False,False,True,133.9,216579.5369678865,133.9,133.9,0,1,0,12,1,1,744,59
0,BEDOK,3 ROOM,68,750,293000,1.3326931795279,103.926617402908,False,True,False,133.9,218820.0149365198,133.9,133.9,0,0,0,16,2,2,781,33
0,BEDOK,3 ROOM,60,819,300000,1.32869611162886,103.941995599533,False,False,True,133.9,224047.79686333085,133.9,133.9,0,2,0,9,0,0,527,217
0,BEDOK,3 ROOM,67,818,300000,1.33103784588692,103.908641634756,False,False,True,133.9,224047.79686333085,133.9,133.9,1,1,0,11,0,0,447,135
0,BEDOK,3 ROOM,65,696,300000,1.32062504871279,103.934734222428,False,False,True,133.9,224047.79686333085,133.9,133.9,0,0,0,12,0,0,624,117
0,BEDOK,3 ROOM,65,672,300000,1.32604335303082,103.926488452026,False,False,True,133.9,224047.79686333085,133.9,133.9,1,0,2,20,1,1,474,191
0,BEDOK,3 ROOM,60,813,300000,1.32424554153984,103.941568704132,False,False,True,133.9,224047.79686333085,133.9,133.9,0,2,0,12,0,0,636,157
0,BEDOK,3 ROOM,60,813,301888,1.32424554153984,103.941568704132,False,False,True,133.9,225457.80433159074,133.9,133.9,0,2,0,12,0,0,636,157
